,time,Nederbördsmängd
212,2020-01-25:21,0.0
213,2020-01-25:22,0.0
214,2020-01-25:23,0.0
215,2020-01-26:00,0.0
216,2020-01-26:01,0.0
217,2020-01-26:02,0.0
218,2020-01-26:03,0.0
219,2020-01-26:04,0.0
220,2020-01-26:05,0.0
221,2020-01-26:06,0.0
222,2020-01-26:07,0.0
223,2020-01-26:08,0.0
224,2020-01-26:09,0.0
225,2020-01-26:10,0.0
226,2020-01-26:11,0.0
227,2020-01-26:12,0.0
228,2020-01-26:13,0.0
229,2020-01-26:14,0.0
230,2020-01-26:15,0.0
231,2020-01-26:16,0.0
232,2020-01-26:17,0.0
233,2020-01-26:18,0.0
234,2020-01-26:19,0.0
235,2020-01-26:20,0.0
236,2020-01-26:21,0.0
237,2020-01-26:22,0.0
238,2020-01-26:23,0.0
239,2020-01-27:00,0.0
240,2020-01-27:01,0.0
241,2020-01-27:02,0.0
242,2020-01-27:03,0.0
243,2020-01-27:04,0.0
244,2020-01-27:05,0.0
245,2020-01-27:06,0.0
246,2020-01-27:07,0.0
247,2020-01-27:08,0.0
248,2020-01-27:09,0.0
249,2020-01-27:10,0.0
250,2020-01-27:11,0.0
251,2020-01-27:12,0.0
252,2020-01-27:13,0.1
253,2020-01-27:14,0.5
254,2020-01-27:15,0.4
255,2020-01-27:16,0.9
256,2020-01-27:17,0.7
257,2020-01-27:18,0.0
258,2020-01-27:19,0.2
259,2020-01-27:20,0.4
260,2020-01-27:21,0.0
261,2020-01-27:22,0.0
262,2020-01-27:23,0.0
263,2020-01-28:00,0.0
264,2020-01-28:01,0.0
265,2020-01-28:02,0.0
266,2020-01-28:03,0.0
267,2020-01-28:04,0.1
268,2020-01-28:05,0.6
269,2020-01-28:06,1.0
270,2020-01-28:07,0.1
271,2020-01-28:08,0.0
272,2020-01-28:09,0.1
273,2020-01-28:10,0.0
274,2020-01-28:11,0.0
275,2020-01-28:12,0.1
276,2020-01-28:13,0.7
277,2020-01-28:14,0.4
278,2020-01-28:15,0.5
279,2020-01-28:16,0.2
280,2020-01-28:17,0.0
281,2020-01-28:18,0.0
282,2020-01-28:19,0.0
283,2020-01-28:20,0.0
284,2020-01-28:21,0.0
285,2020-01-28:22,0.0
286,2020-01-28:23,0.0
287,2020-01-29:00,0.0
288,2020-01-29:01,0.0
289,2020-01-29:02,0.0
290,2020-01-29:03,0.0
291,2020-01-29:04,0.0
292,2020-01-29:05,0.0
293,2020-01-29:06,0.0
294,2020-01-29:07,0.0
295,2020-01-29:08,0.0
296,2020-01-29:09,0.0
297,2020-01-29:10,0.0
298,2020-01-29:11,0.0
299,2020-01-29:12,0.0
300,2020-01-29:13,0.0
301,2020-01-29:14,0.0
302,2020-01-29:15,0.0
303,2020-01-29:16,0.0
304,2020-01-29:17,0.0
305,2020-01-29:18,0.0
306,2020-01-29:19,0.0
307,2020-01-29:20,0.0
308,2020-01-29:21,0.0
309,2020-01-29:22,0.0
310,2020-01-29:23,0.0
311,2020-01-30:00,0.0
312,2020-01-30:01,0.0
313,2020-01-30:02,0.0
314,2020-01-30:03,0.0
315,2020-01-30:04,0.0
316,2020-01-30:05,0.0
317,2020-01-30:06,0.0
318,2020-01-30:07,0.2
319,2020-01-30:08,0.7
320,2020-01-30:09,0.0
321,2020-01-30:10,0.1
322,2020-01-30:11,0.2
323,2020-01-30:12,0.7
324,2020-01-30:13,0.0
325,2020-01-30:14,0.0
326,2020-01-30:15,0.0
327,2020-01-30:16,0.0
328,2020-01-30:17,0.0
329,2020-01-30:18,0.0
330,2020-01-30:19,0.0
331,2020-01-30:20,0.0
332,2020-01-30:21,0.0
333,2020-01-30:22,0.0
334,2020-01-30:23,0.0
335,2020-01-31:00,0.0
336,2020-01-31:01,0.5
337,2020-01-31:02,6.0
338,2020-01-31:03,2.0
339,2020-01-31:04,0.1
340,2020-01-31:05,0.0
341,2020-01-31:06,0.0
342,2020-01-31:07,0.0
343,2020-01-31:08,0.1
344,2020-01-31:09,0.4
345,2020-01-31:10,0.0
346,2020-01-31:11,0.1
347,2020-01-31:12,0.0
348,2020-01-31:13,0.0
349,2020-01-31:14,0.0
350,2020-01-31:15,0.0
351,2020-01-31:16,0.0
352,2020-01-31:17,0.0
353,2020-01-31:18,0.0
354,2020-01-31:19,0.0
355,2020-01-31:20,0.0
356,2020-01-31:21,0.0
357,2020-01-31:22,0.0
358,2020-01-31:23,0.0
359,2020-02-01:00,0.0
360,2020-02-01:01,0.0
361,2020-02-01:02,0.0
362,2020-02-01:03,0.3
363,2020-02-01:04,0.5
364,2020-02-01:05,0.0
365,2020-02-01:06,0.8
366,2020-02-01:07,0.2
367,2020-02-01:08,0.1
368,2020-02-01:09,0.0
369,2020-02-01:10,0.0
370,2020-02-01:11,0.0
371,2020-02-01:12,0.0
372,2020-02-01:13,0.0
373,2020-02-01:14,0.0
374,2020-02-01:15,0.0
375,2020-02-01:16,0.0
376,2020-02-01:17,0.0
377,2020-02-01:18,0.0
378,2020-02-01:19,0.0
379,2020-02-01:20,0.0
380,2020-02-01:21,0.0
381,2020-02-01:22,0.0
382,2020-02-01:23,0.0
383,2020-02-02:00,0.0
384,2020-02-02:01,0.0
385,2020-02-02:02,0.0
386,2020-02-02:03,0.0
387,2020-02-02:04,0.0
388,2020-02-02:05,0.0
389,2020-02-02:06,0.0
390,2020-02-02:07,0.0
391,2020-02-02:08,0.0
392,2020-02-02:09,0.0
393,2020-02-02:10,0.0
394,2020-02-02:11,0.0
395,2020-02-02:12,0.0
396,2020-02-02:13,0.0
397,2020-02-02:14,0.0
398,2020-02-02:15,0.0
399,2020-02-02:16,0.0
400,2020-02-02:17,0.0
401,2020-02-02:18,0.0
402,2020-02-02:19,0.0
403,2020-02-02:20,0.0
404,2020-02-02:21,0.0
405,2020-02-02:22,0.0
406,2020-02-02:23,0.0
407,2020-02-03:00,0.0
408,2020-02-03:01,0.0
409,2020-02-03:02,0.0
410,2020-02-03:03,0.0
411,2020-02-03:04,0.0
412,2020-02-03:05,0.0
413,2020-02-03:06,0.0
414,2020-02-03:07,0.0
415,2020-02-03:08,0.0
416,2020-02-03:09,0.0
417,2020-02-03:10,0.0
418,2020-02-03:11,0.0
419,2020-02-03:12,0.0
420,2020-02-03:13,0.0
421,2020-02-03:14,0.0
422,2020-02-03:15,0.0
423,2020-02-03:16,0.0
424,2020-02-03:17,0.0
425,2020-02-03:18,0.0
426,2020-02-03:19,0.0
427,2020-02-03:20,0.0
428,2020-02-03:21,0.1
429,2020-02-03:22,2.0
430,2020-02-03:23,0.3
431,2020-02-04:00,0.0
432,2020-02-04:01,0.0
433,2020-02-04:02,0.0
434,2020-02-04:03,0.0
435,2020-02-04:04,0.0
436,2020-02-04:05,0.0
437,2020-02-04:06,0.9
438,2020-02-04:07,0.1
439,2020-02-04:08,0.0
440,2020-02-04:09,0.0
441,2020-02-04:10,0.0
442,2020-02-04:11,0.2
443,2020-02-04:12,0.0
444,2020-02-04:13,0.0
445,2020-02-04:14,0.0
446,2020-02-04:15,0.3
447,2020-02-04:16,0.1
448,2020-02-04:17,0.0
449,2020-02-04:18,0.0
450,2020-02-04:19,0.1
451,2020-02-04:20,0.2
452,2020-02-04:21,0.0
453,2020-02-04:22,0.0
454,2020-02-04:23,0.0
455,2020-02-05:00,0.0
456,2020-02-05:01,0.0
457,2020-02-05:02,0.0
458,2020-02-05:03,0.0
459,2020-02-05:04,0.0
460,2020-02-05:05,0.0
461,2020-02-05:06,0.0
462,2020-02-05:07,0.0
463,2020-02-05:08,0.0
464,2020-02-05:09,0.0
465,2020-02-05:10,0.0
466,2020-02-05:11,0.0
467,2020-02-05:12,0.0
468,2020-02-05:13,0.0
469,2020-02-05:14,0.0
470,2020-02-05:15,0.0
471,2020-02-05:16,0.0
472,2020-02-05:17,0.0
473,2020-02-05:18,0.0
474,2020-02-05:19,0.0
475,2020-02-05:20,0.0
476,2020-02-05:21,0.0
477,2020-02-05:22,0.0
478,2020-02-05:23,0.0
479,2020-02-06:00,0.0
480,2020-02-06:01,0.0
481,2020-02-06:02,0.0
482,2020-02-06:03,0.0
483,2020-02-06:04,0.0
484,2020-02-06:05,0.0
485,2020-02-06:06,0.0
486,2020-02-06:07,0.0
487,2020-02-06:08,0.0
488,2020-02-06:09,0.0
489,2020-02-06:10,0.0
490,2020-02-06:11,0.0
491,2020-02-06:12,0.0
492,2020-02-06:13,0.0
493,2020-02-06:14,0.0
494,2020-02-06:15,0.0
495,2020-02-06:16,0.0
496,2020-02-06:17,0.0
497,2020-02-06:18,0.0
498,2020-02-06:19,0.0
499,2020-02-06:20,0.0
500,2020-02-06:21,0.0
501,2020-02-06:22,0.0
502,2020-02-06:23,0.0
503,2020-02-07:00,0.0
504,2020-02-07:01,0.0
505,2020-02-07:02,0.0
506,2020-02-07:03,0.0
507,2020-02-07:04,0.0
508,2020-02-07:05,0.0
509,2020-02-07:06,0.0
510,2020-02-07:07,0.0
511,2020-02-07:08,0.0
512,2020-02-07:09,0.0
513,2020-02-07:10,0.0
514,2020-02-07:11,0.0
515,2020-02-07:12,0.0
516,2020-02-07:13,0.0
517,2020-02-07:14,0.0
518,2020-02-07:15,0.0
519,2020-02-07:16,0.0
520,2020-02-07:17,0.0
521,2020-02-07:18,0.0
522,2020-02-07:19,0.0
523,2020-02-07:20,0.0
524,2020-02-07:21,0.0
525,2020-02-07:22,0.0
526,2020-02-07:23,0.0
527,2020-02-08:00,0.0
528,2020-02-08:01,0.0
529,2020-02-08:02,0.0
530,2020-02-08:03,0.0
531,2020-02-08:04,0.0
532,2020-02-08:05,0.0
533,2020-02-08:06,0.0
534,2020-02-08:07,0.0
535,2020-02-08:08,0.0
536,2020-02-08:09,0.0
537,2020-02-08:10,0.0
538,2020-02-08:11,0.0
539,2020-02-08:12,0.0
540,2020-02-08:13,0.0
541,2020-02-08:14,0.0
542,2020-02-08:15,0.0
543,2020-02-08:16,0.0
544,2020-02-08:17,0.0
545,2020-02-08:18,0.0
546,2020-02-08:19,0.0
547,2020-02-08:20,0.0
548,2020-02-08:21,0.0
549,2020-02-08:22,0.0
550,2020-02-08:23,0.0
551,2020-02-09:00,0.0
552,2020-02-09:01,0.0
553,2020-02-09:02,0.0
554,2020-02-09:03,0.0
555,2020-02-09:04,0.0
556,2020-02-09:05,0.0
557,2020-02-09:06,0.0
558,2020-02-09:07,0.0
559,2020-02-09:08,0.0
560,2020-02-09:09,0.0
561,2020-02-09:10,0.0
562,2020-02-09:11,0.0
